version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,dumb_enumerate_ratios_w2/frequency/even_list,uni_len,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)","(499.000, 252.000, 121.000, 64.000, 32.000, 13.000, 12.000, 4.000, 1.000, 1.000, 1.000)","(500, 500)", 2658.578,2637.552,0.000,20000,20
final,dumb_enumerate_ratios_w2/frequency/even_list,uni_len,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)","(143.000, 133.000, 105.000, 80.000, 85.000, 63.000, 66.000, 54.000, 41.000, 26.000, 204.000)","(14, 86)", 298.022,276.996,0.003,20000,20
