version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,ur_depth_tree,stick,0.500,0.320,"(500, 500, 500, 500, 500, 500)",,0.001,5000,10
final,ur_depth_tree,stick,0.500,0.500,"(216, 1102, 590, 66, 100, 735)",,4.184,5000,10
