version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,ur_depth_tree,uni_height,5.000,"(519.000, 120.000, 86.000, 56.000, 25.000, 194.000)","(500, 500, 500, 500, 500, 500)", 862.770,0.001,5000,10
final,ur_depth_tree,uni_height,5.000,"(368.000, 241.000, 60.000, 92.000, 26.000, 213.000)","(640, 1010, 917, 163, 138, 192)", 458.070,2.998,5000,10
