version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,rb_tree,black,0.333,0.534,"(500, 500, 500, 500)",,0.003,5000,10
final,rb_tree,black,0.333,0.371,"(2, 837, 908, 854)",,7.149,5000,10
