version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,rb_tree,black,0.400,0.531,"(500, 500, 500, 500)",,0.001,5000,10
final,rb_tree,black,0.400,0.363,"(3, 746, 518, 330)",,6.398,5000,10
