version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,Loaded Dice rd black tree,uniform height via chi,5.000,"(0.000, 264.000, 138.000, 89.000, 58.000, 451.000)","(500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500)", 717.130,0.002,40000,200
final,Loaded Dice rd black tree,uniform height via chi,5.000,"(0.000, 234.000, 166.000, 203.000, 84.000, 313.000)","(724, 240, 52, 987, 151, 948, 597, 675, 997, 41, 705, 234, 621, 156, 474, 866, 1008, 888, 462, 674, 1007, 192, 468, 122, 781, 805, 948, 924, 29, 751, 110, 295, 906, 482, 195, 590, 36, 590, 888, 339)", 342.730,49.451,40000,200
