version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,Loaded Dice rd black tree,uniform height via chi,5.000,"(0.000, 264.000, 138.000, 89.000, 58.000, 451.000)","(500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500)", 717.130,0.002,5000,50
final,Loaded Dice rd black tree,uniform height via chi,5.000,"(0.000, 22474.000, 16632.000, 17346.000, 8503.000, 35045.000)","(296, 528, 480, 320, 524, 248, 306, 967, 379, 112, 828, 306, 524, 45, 914, 121, 780, 575, 900, 132, 251, 814, 174, 475, 704, 930, 609, 28, 504, 878, 925, 266, 393, 391, 612, 606, 812, 192, 622, 821)", 11716404.250,6.142,5000,50
