version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,Loaded Dice rd black tree,uniform height via chi,5.000,"(0.000, 264.000, 138.000, 89.000, 58.000, 451.000)","(500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500)", 717.130,0.002,20000,100
final,Loaded Dice rd black tree,uniform height via chi,5.000,"(0.000, 137.000, 240.000, 205.000, 101.000, 317.000)","(789, 92, 664, 627, 630, 925, 260, 403, 908, 877, 880, 497, 274, 834, 487, 265, 714, 930, 558, 590, 171, 270, 492, 510, 76, 602, 726, 994, 740, 185, 703, 101, 42, 698, 924, 560, 683, 1, 685, 186)", 345.420,22.799,20000,100
