version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,dumb_iterate_ratios/parametrized/depth_tree,stick,0.800,0.305,"(500, 500, 500, 500)",,0.495,0.000,20000,20
final,dumb_iterate_ratios/parametrized/depth_tree,stick,0.800,0.364,"(40, 60, 80, 19)",,0.436,0.071,20000,20
