version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,dumb_enumerate_ratios/frequency/rb_tree,black,0.200,0.530,"(500, 500, 500, 500)",,0.330,0.001,20000,20
final,dumb_enumerate_ratios/frequency/rb_tree,black,0.200,0.333,"(0, 100, 100, 0)",,0.133,0.088,20000,20
