version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,dumb_iterate/unrolled/even_list,min_nil,0.100,0.000,"(500, 500, 500, 500)",,-0.100,0.000,20000,20
final,dumb_iterate/unrolled/even_list,min_nil,0.100,0.000,"(1000, 1000, 1000, 1000)",,-0.100,2.727,20000,20
