version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,greedy_enumerate/frequency/sized_list,uni_len,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)","(521.000, 234.000, 110.000, 63.000, 39.000, 15.000, 7.000, 8.000, 1.000, 0.000, 2.000)","(500, 500)", 2785.430,2764.404,0.000,0,0
final,greedy_enumerate/frequency/sized_list,uni_len,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)","(82.000, 82.000, 68.000, 66.000, 75.000, 56.000, 46.000, 53.000, 32.000, 48.000, 392.000)","(9, 90)", 1124.166,1103.140,0.002,0,0
