version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,dumb_enumerate_ratios_w2/unrolled/depth_bst,height,5.000,1.518,"(500, 500, 500, 500, 500, 500)",,3.482,0.001,0,0
final,dumb_enumerate_ratios_w2/unrolled/depth_bst,height,5.000,5.000,"(0, 100, 0, 100, 15, 85)",,0.000,0.123,0,0
