version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,dumb_iterate_ratios/unrolled/depth_tree,h_bal,0.300,0.880,"(500, 500, 500, 500, 500, 500)",,0.580,0.000,20000,20
final,dumb_iterate_ratios/unrolled/depth_tree,h_bal,0.300,0.299,"(70, 30, 60, 40, 80, 19)",,0.001,0.250,20000,20
