version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,parametrized/depth_tree,stick,0.100,0.317,"(500, 500, 500, 500)",,0.217,0.001,20000,20
final,parametrized/depth_tree,stick,0.100,0.100,"(9, 222, 122, 483)",,0.000,27.481,20000,20
