version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,unrolled/rb_tree,black,0.600,0.525,"(500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500)",,0.001,100000,50
final,unrolled/rb_tree,black,0.600,0.600,"(1031, 880, 278, 152, 78, 490, 968, 182, 130, 36, 701, 334, 667, 211, 84, 766, 689, 742, 682, 957)",,146.064,100000,50
