version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,unrolled/rb_tree,uni_height,5.000,"(0.000, 0.000, 26.000, 248.000, 726.000, 0.000)","(500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500)", 2146.280,0.002,20000,20
final,unrolled/rb_tree,uni_height,5.000,"(0.000, 0.000, 275.000, 284.000, 441.000, 0.000)","(384, 77, 471, 859, 973, 1014, 615, 585, 22, 1030, 744, 758, 761, 619, 571, 46, 962, 715, 543, 849)", 953.810,31.032,20000,20
