version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,frequency/sized_list,nil,0.100,0.491,"(500, 500)",,0.391,0.000,24760,16
final,frequency/sized_list,nil,0.100,0.100,"(55, 485)",,0.000,4.220,24760,16
