version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,frequency/sized_list,len2,5.000,1.020,"(500, 500)",,87.311,0.000,5000,10
final,frequency/sized_list,len2,5.000,4.979,"(53, 355)",,-1.782,2.237,5000,10
