version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,greedy_enumerate/parametrized/depth_bst,uni_height,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)","(499.000, 150.000, 71.000, 72.000, 46.000, 162.000)","(500, 500, 500, 500)", 860.516,846.449,0.000,0,0
final,greedy_enumerate/parametrized/depth_bst,uni_height,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000)","(464.000, 139.000, 103.000, 69.000, 63.000, 162.000)","(50, 50, 50, 50)", 681.200,667.133,0.004,0,0
