version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,sized_list,len_uni,10.000,"(491.000, 244.000, 137.000, 75.000, 24.000, 13.000, 8.000, 4.000, 2.000, 2.000, 0.000)","(500, 500)", 2358.440,0.000,20000,20
final,sized_list,len_uni,10.000,"(135.000, 141.000, 123.000, 94.000, 78.000, 69.000, 59.000, 44.000, 42.000, 39.000, 176.000)","(197, 1006)", 225.940,5.917,20000,20
