version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,sized_list,nil,0.100,0.491,"(500, 500)",,0.000,5000,10
final,sized_list,nil,0.100,0.090,"(91, 995)",,1.538,5000,10
