version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,frequency/depth_bst,stick,0.500,0.354,"(500, 500)",,0.146,0.001,20000,20
final,frequency/depth_bst,stick,0.500,0.391,"(617, 645)",,0.109,19.966,20000,20
