version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,parametrized/sized_list_1_const,len,5.000,0.988,"(500, 500, 500)",,4.012,0.000,20000,20
final,parametrized/sized_list_1_const,len,5.000,4.998,"(90, 873, 341)",,0.002,5.241,20000,20
