version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,greedy_enumerate/frequency/depth_tree,stick,0.800,0.342,"(500, 500)",,0.458,0.000,0,0
final,greedy_enumerate/frequency/depth_tree,stick,0.800,0.349,"(50, 50)",,0.451,0.004,0,0
