version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,dumb_iterate_ratios_smaller/unrolled/depth_bst,min_stick,0.100,0.349,"(500, 500, 500, 500, 500, 500)",,0.249,0.000,20000,20
final,dumb_iterate_ratios_smaller/unrolled/depth_bst,min_stick,0.100,0.000,"(100, 0, 0, 100, 0, 100)",,-0.100,0.056,20000,20
