version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,even_list,nil,0.100,0.000,"(500, 500)",,0.000,5000,10
final,even_list,nil,0.100,0.000,"(420, 290)",,1.933,5000,10
