version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,even_list,len_uni,11.000,"(0.000, 486.000, 243.000, 141.000, 63.000, 41.000, 15.000, 4.000, 5.000, 1.000, 1.000, 0.000)","(500, 500)", 2622.393,0.000,5000,10
final,even_list,len_uni,11.000,"(0.000, 169.000, 115.000, 117.000, 102.000, 78.000, 67.000, 56.000, 50.000, 45.000, 40.000, 161.000)","(127, 623)", 318.883,9.898,5000,10
