version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,dumb_enumerate_ratios_w/frequency/sized_list,len,5.000,0.901,"(500, 500)",,4.099,0.000,20000,20
final,dumb_enumerate_ratios_w/frequency/sized_list,len,5.000,4.893,"(14, 86)",,0.107,0.003,20000,20
