version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,frequency/depth_tree,stick,0.100,0.338,"(500, 500)",,0.238,0.000,20000,20
final,frequency/depth_tree,stick,0.100,0.100,"(860, 95)",,0.000,15.190,20000,20
