version,generator,fv,goal,dist,chi,time,iterations,restarts
initial,p_sized_list,uni_len,5.000,"(486.000, 249.000, 136.000, 71.000, 26.000, 32.000)","(500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500)", 817.170,0.000,500000,300
final,p_sized_list,uni_len,5.000,"(173.000, 196.000, 169.000, 158.000, 161.000, 143.000)","(715, 40, 281, 254, 238, 480, 141, 405, 157, 620, 58, 262)", 41.200,104.463,500000,300
