version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,dumb_iterate/frequency/even_list,len,5.000,2.022,"(500, 500)",,2.978,0.000,20000,20
final,dumb_iterate/frequency/even_list,len,5.000,5.091,"(200, 1000)",,0.091,0.018,20000,20
