version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,unrolled/even_list,uni_len,11.000,"(0.000, 468.000, 264.000, 142.000, 68.000, 28.000, 15.000, 6.000, 3.000, 5.000, 1.000, 0.000)","(500, 500, 500, 500)", 2551.377,0.000,20000,20
final,unrolled/even_list,uni_len,11.000,"(0.000, 149.000, 154.000, 114.000, 105.000, 74.000, 78.000, 59.000, 56.000, 34.000, 45.000, 132.000)","(38, 234, 267, 1050)", 286.829,7.084,20000,20
