version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,unrolled/even_list,min_len,5.000,1.989,"(500, 500, 500, 500)",,0.000,20000,20
final,unrolled/even_list,min_len,5.000,1.000,"(682, 1, 1043, 222)",,5.486,20000,20
