version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,unrolled/even_list,len,5.000,1.904,"(500, 500, 500, 500)",,0.000,20000,20
final,unrolled/even_list,len,5.000,4.998,"(74, 383, 125, 511)",,6.305,20000,20
