version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,unrolled/even_list,uni_len,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)","(486.000, 243.000, 141.000, 63.000, 41.000, 15.000, 4.000, 5.000, 1.000, 1.000, 0.000)","(500, 500, 500, 500)", 2531.484,2510.458,0.000,20000,20
final,unrolled/even_list,uni_len,"(1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000, 11.000)","(144.000, 139.000, 125.000, 80.000, 88.000, 71.000, 72.000, 49.000, 48.000, 35.000, 149.000)","(57, 303, 121, 617)", 190.002,168.976,6.930,20000,20
