version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,unrolled/even_list,nil,0.100,0.000,"(500, 500, 500, 500)",,0.000,20000,20
final,unrolled/even_list,nil,0.100,0.000,"(950, 690, 831, 118)",,5.442,20000,20
