version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,dumb_iterate_ratios_w2/frequency/depth_bst,h_bal,0.300,0.792,"(500, 500)",,0.492,0.000,0,0
final,dumb_iterate_ratios_w2/frequency/depth_bst,h_bal,0.300,0.258,"(0, 100)",,0.042,0.007,0,0
