version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,depth_bst,h_bal,2.000,0.848,"(500, 500)",,0.001,5000,10
final,depth_bst,h_bal,2.000,1.403,"(297, 1080)",,3.602,5000,10
