data type,feature vector,#bool_gen,#weights,target,start dist,end dist,start score,end score,time
sized_list_5,uni_len,6,12,"5.000","(486.000, 249.000, 136.000, 71.000, 26.000, 32.000)","(166.000, 167.000, 188.000, 172.000, 154.000, 153.000)",804.578,24.898,4.896
sized_list_10,uni_len,11,22,"10.000","(486.000, 249.000, 136.000, 71.000, 26.000, 32.000, 0.000, 0.000, 0.000, 0.000, 0.000)","(215.000, 173.000, 144.000, 145.000, 151.000, 172.000, 0.000, 0.000, 0.000, 0.000, 0.000)",2314.665,783.325,4.684
