data type,feature vector,#bool_gen,#weights,target,start dist,end dist,start score,end score,time
black_0.2_20000_20.csv,black,20,40,"0.200","0.507","0.364",0.307,0.164,28.022
min_black_0.2_20000_20.csv,min_black,20,40,"0.200","0.516","0.348",0.316,0.148,28.533
black_0.4_20000_20.csv,black,20,40,"0.400","0.492","0.400",0.092,0.000,27.639
uni_height_5._20000_20.csv,uni_height,20,40,"5.000","(0.000, 264.000, 138.000, 89.000, 58.000, 451.000)","(0.000, 247.000, 184.000, 88.000, 174.000, 307.000)",704.538,323.078,27.542
black_0.6_20000_20.csv,black,20,40,"0.600","0.480","0.600",0.120,0.000,27.200
black_0.333_20000_20.csv,black,20,40,"0.333","0.504","0.372",0.171,0.039,30.531
