version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,Dragen,constructors,"(-1.000, -1.000, 0.010, -1.000)","(1.939, 1.922, 1.896, 4.757)","(500, 500, 500, 500, 500, 500)", 355.700,0.001,5000,10
final,Dragen,constructors,"(-1.000, -1.000, 0.010, -1.000)","(0.787, 0.665, 0.182, 0.634)","(147, 864, 723, 199, 621, 250)", 2.958,18.901,5000,10
