version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,Dragen,constructors,"(10.000, 10.000, 10.000, 10.000)","(1.733, 1.780, 1.787, 4.300)","(500, 500, 500, 500, 500, 500)", 23.586,0.002,10000,20
final,Dragen,constructors,"(10.000, 10.000, 10.000, 10.000)","(6.392, 4.937, 5.111, 15.440)","(926, 842, 959, 912, 721, 1029)", 9.215,30.636,10000,20
