version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,Dragen,constructors,"(30.000, 10.000, 10.000, -1.000)","(2.188, 2.187, 2.129, 5.504)","(500, 500, 500, 500, 500, 500)", 38.083,0.002,5000,10
final,Dragen,constructors,"(30.000, 10.000, 10.000, -1.000)","(13.370, 13.000, 12.938, 38.308)","(504, 335, 483, 340, 483, 999)", 10.982,30.473,5000,10
