version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,parametrized/rb_tree,uni_height,5.000,"(0.000, 0.000, 21.000, 287.000, 692.000, 0.000)","(500, 500, 500, 500, 500, 500, 500, 500)", 2008.370,1995.778,0.002,80000,80
final,parametrized/rb_tree,uni_height,5.000,"(0.000, 0.000, 247.000, 430.000, 323.000, 0.000)","(808, 464, 153, 60, 73, 13, 200, 616)", 951.190,938.598,134.655,80000,80
