version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,parametrized/rbtree_2,uni_height,5.000,"(0.000, 0.000, 21.000, 287.000, 692.000, 0.000)","(500, 500, 500, 500, 500, 500, 500, 500)", 2008.370,0.002,20000,20
final,parametrized/rbtree_2,uni_height,5.000,"(0.000, 0.000, 256.000, 431.000, 313.000, 0.000)","(-44, 23, -31, 79, 295, 58, 311, 500)", 946.330,38.527,20000,20
