version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,greedy_enumerate/parametrized/depth_tree,stick,0.100,0.330,"(500, 500, 500, 500)",,0.230,0.000,0,0
final,greedy_enumerate/parametrized/depth_tree,stick,0.100,0.080,"(9, 90, 0, 100)",,0.020,0.006,0,0
