version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,dumb_iterate_ratios_w2/unrolled/depth_tree,stick,0.500,0.318,"(500, 500, 500, 500, 500, 500)",,0.182,0.000,20000,20
final,dumb_iterate_ratios_w2/unrolled/depth_tree,stick,0.500,0.500,"(0, 100, 100, 0, 0, 100)",,0.000,0.707,20000,20
