version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,greedy_enumerate/frequency/depth_tree,height,3.000,1.530,"(500, 500)",,1.470,0.000,0,0
final,greedy_enumerate/frequency/depth_tree,height,3.000,1.683,"(50, 50)",,1.317,0.004,0,0
