version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,dumb_enumerate_ratios_w2/unrolled/sized_list,uni_len,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)","(493.000, 258.000, 128.000, 64.000, 35.000, 17.000, 5.000, 0.000, 0.000, 0.000, 0.000)","(500, 500, 500, 500)", 2647.952,2626.926,0.000,20000,20
final,dumb_enumerate_ratios_w2/unrolled/sized_list,uni_len,"(0.000, 1.000, 2.000, 3.000, 4.000, 5.000, 6.000, 7.000, 8.000, 9.000, 10.000)","(164.000, 148.000, 120.000, 86.000, 93.000, 72.000, 53.000, 52.000, 36.000, 36.000, 140.000)","(17, 83, 17, 83)", 233.474,212.448,0.024,20000,20
