version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,sized_list,len_uni,10.000,"(491.000, 244.000, 137.000, 75.000, 24.000, 13.000, 8.000, 4.000, 2.000, 2.000, 0.000)","(500, 500)", 2358.440,0.000,5000,10
final,sized_list,len_uni,10.000,"(196.000, 125.000, 128.000, 97.000, 88.000, 55.000, 58.000, 46.000, 39.000, 37.000, 131.000)","(37, 169)", 261.340,0.998,5000,10
