version,generator,fv,goal,dist,chi,time,iterations,restarts
initial,p_sized_list,uni_len,5.000,"(486.000, 249.000, 136.000, 71.000, 26.000, 32.000)","(500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500)", 817.170,0.000,50000,50
final,p_sized_list,uni_len,5.000,"(134.000, 197.000, 215.000, 219.000, 133.000, 102.000)","(498, 183, 892, 675, 472, 547, 337, 677, 49, 180, 119, 711)", 95.220,10.756,50000,50
