version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,depth_tree,stick,0.500,0.325,"(500, 500)",,0.001,5000,10
final,depth_tree,stick,0.500,0.337,"(1016, 885)",,4.451,5000,10
