version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,depth_tree,height_min,3.000,2.530,"(500, 500)",,0.001,5000,10
final,depth_tree,height_min,3.000,1.004,"(514, 2)",,3.399,5000,10
