version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,frequency/depth_tree,h_bal,2.000,0.805,"(500, 500)",,1.195,0.001,20000,20
final,frequency/depth_tree,h_bal,2.000,1.482,"(208, 500)",,0.518,20.325,20000,20
