version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,p2_sized_list,uni_len,10.000,"(503.000, 259.000, 124.000, 53.000, 29.000, 15.000, 7.000, 3.000, 3.000, 2.000, 2.000)","(500, 500, 500)", 2494.160,0.000,5000,10
final,p2_sized_list,uni_len,10.000,"(92.000, 105.000, 85.000, 91.000, 89.000, 90.000, 82.000, 82.000, 88.000, 58.000, 138.000)","(5, 474, 535)", 46.160,1.844,5000,10
