version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,unrolled/sized_list,min_len,5.000,0.970,"(500, 500, 500, 500)",,-4.030,0.000,20000,20
final,unrolled/sized_list,min_len,5.000,0.003,"(930, 3, 523, 823)",,-4.997,5.191,20000,20
