version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,unrolled/sized_list,uni_len,11.000,"(0.000, 502.000, 247.000, 121.000, 59.000, 31.000, 23.000, 10.000, 1.000, 0.000, 5.000, 1.000)","(500, 500, 500, 500)", 2751.181,0.000,20000,20
final,unrolled/sized_list,uni_len,11.000,"(0.000, 134.000, 143.000, 111.000, 106.000, 77.000, 73.000, 55.000, 58.000, 39.000, 48.000, 156.000)","(150, 721, 109, 558)", 276.379,8.192,20000,20
