version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,parametrized/sized_list_2,uni_len,10.000,"(503.000, 259.000, 124.000, 53.000, 29.000, 15.000, 7.000, 3.000, 3.000, 2.000, 2.000)","(500, 500, 500, 500)", 2494.160,0.001,5000,10
final,parametrized/sized_list_2,uni_len,10.000,"(401.000, 253.000, 143.000, 94.000, 43.000, 32.000, 19.000, 6.000, 5.000, 2.000, 2.000)","(138, 523, 88, 465)", 1673.980,1.343,5000,10
