version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,dumb_iterate_ratios_w/frequency/even_list,min_len,5.000,1.945,"(500, 500)",,-3.055,0.000,20000,20
final,dumb_iterate_ratios_w/frequency/even_list,min_len,5.000,1.000,"(100, 0)",,-4.000,0.003,20000,20
