version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,parametrized/sized_list,uni_len,10.000,"(503.000, 259.000, 124.000, 53.000, 29.000, 15.000, 7.000, 3.000, 3.000, 2.000, 2.000)","(500, 500, 500, 500)", 2494.160,2474.485,0.001,40000,20
final,parametrized/sized_list,uni_len,10.000,"(88.000, 101.000, 99.000, 91.000, 91.000, 94.000, 80.000, 88.000, 89.000, 75.000, 104.000)","(22, 661, 722, 762)", 16.500,-3.175,20.534,40000,20
