version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,depth_bst,height,3.000,2.518,"(500, 500)",,0.001,5000,10
final,depth_bst,height,3.000,3.057,"(906, 1242)",,4.142,5000,10
