version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,dumb_enumerate_ratios/frequency/sized_list,nil,0.100,0.491,"(500, 500)",,0.391,0.000,20000,20
final,dumb_enumerate_ratios/frequency/sized_list,nil,0.100,0.106,"(10, 90)",,0.006,0.003,20000,20
