version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,greedy_enumerate/unrolled/depth_tree,stick,0.100,0.323,"(500, 500, 500, 500, 500, 500)",,0.223,0.000,0,0
final,greedy_enumerate/unrolled/depth_tree,stick,0.100,0.042,"(50, 50, 9, 90, 0, 100)",,0.058,0.007,0,0
